NOM et PRENOMS,SEXE,MATRICULE,ANCIENNETE,DATE ET LIEU DE NAISSANCE,RESIDENCE
Tchoupo Alice,F,251334567,Nouveau,16/01/2012 à Yaoundé, 
Nkoulou David,M,251445678,Triple,21/03/2011 à Douala, 
Mbia Grace,F,251556789,Nouveau,04/05/2012 à Bafoussam, 
Owona Kevin,M,251667890,Triple,19/07/2011 à Garoua, 
Abega Sandra,F,251778901,Nouveau,02/09/2012 à Maroua, 
Ekobo Joseph,M,251889012,Triple,27/10/2011 à Ngaoundéré, 
Nguimfack Rachel,F,251990123,Nouveau,11/12/2012 à Bertoua, 
Fotso Marc,M,252001234,Triple,06/02/2011 à Ebolowa, 
Ze Eric,M,252112345,Nouveau,01/04/2012 à Limbe, 
Ngo Valerie,F,252223456,Triple,26/05/2011 à Bamenda,
