NOM et PRENOMS,SEXE,MATRICULE,ANCIENNETE,DATE ET LIEU DE NAISSANCE,RESIDENCE
Dupont Jean,M,250112345,Nouveau,20/01/2012 à Yaoundé, 
Martin Marie,F,250223456,Triple,15/03/2011 à Douala, 
Leroy Pierre,M,250334567,Nouveau,08/05/2012 à Bafoussam, 
Dubois Sophie,F,250445678,Triple,12/07/2011 à Garoua, 
Moreau Lucas,M,250556789,Nouveau,25/09/2012 à Maroua, 
Simon Emma,F,250667890,Triple,03/11/2011 à Ngaoundéré, 
Michel Thomas,M,250778901,Nouveau,18/12/2012 à Bertoua, 
Lefebvre Camille,F,250889012,Triple,07/02/2011 à Ebolowa, 
Roux Nathan,M,250990123,Nouveau,22/04/2012 à Limbe, 
Girard Chloe,F,251001234,Triple,14/06/2011 à Bamenda, 
Andre Antoine,M,251112345,Nouveau,09/08/2012 à Buea, 
Bonnet Lea,F,251223456,Triple,28/10/2011 à Kribi,
